nuts,population
TR821,383373.00
PL842,383563.00
RO423,383647.00
PL822,384141.00
ITF14,385588.00
PL712,385629.00
UKL14,386480.00
NO02,386951.00
TR423,387844.00
FRJ27,387854.00
ITI12,387876.00
ITH57,389456.00
UKI62,389473.00
ES421,389528.00
ITF48,390011.00
NL113,391136.00
UKD45,391144.00
DE112,391640.00
PL22C,392618.00
ES432,392931.00
ITF44,392975.00
AT34,394297.00
RO414,394389.00
ITH58,394627.00
DEA5C,394782.00
UKI71,395839.00
HU333,399012.00
ITG19,399224.00
NL225,400685.00
PL424,400859.00
RO126,401006.00
UKF24,403687.00
PT112,403891.00
BE310,404270.00
BE31,404270.00
UKJ26,404293.00
NL33A,405481.00
UKJ28,405631.00
IE041,405926.00
PL411,406147.00
TRB22,407992.00
CH061,409557.00
FRI11,410151.00
BG341,410331.00
FRI13,410346.00
TR212,411528.00
DEA58,412120.00
FI1D9,412161.00
TR712,412172.00
ITC4B,412292.00
PT119,412669.00
RO222,413723.00
FRY10,416474.00
FRY1,416474.00
NL230,416546.00
NL23,416546.00
PT11C,417268.00
RO421,417422.00
PL925,417565.00
HU211,417712.00
ITF34,418306.00
PL427,418331.00
DE719,418950.00
ITI17,419037.00
ITC18,421284.00
UKM72,423970.00
TR723,424981.00
PL638,425158.00
DE116,426158.00
UKK22,427063.00
NL337,427217.00
DE134,429479.00
BE221,429704.00
DK041,430111.00
ITG11,430492.00
FRB02,430911.00
PL228,431037.00
ES513,431183.00
BE322,431879.00
FRK27,432181.00
PT16E,434015.00
IE052,434267.00
ITG14,434870.00
FRI34,437355.00
PT150,438864.00
PT15,438864.00
TR612,441412.00
RO214,441811.00
CZ051,442356.00
PL714,442739.00
PL516,442785.00
AT221,443066.00
DE123,444232.00
DEA37,447614.00
HR035,447723.00
DEA1D,451007.00
ITH52,451631.00
PL217,452713.00
TR903,453912.00
UKJ27,457549.00
UKD71,457712.00
DEA1F,459809.00
MT001,460171.00
UKJ35,460523.00
RO114,460689.00
SE123,461583.00
IE042,462021.00
NO060,462032.00
NO06,462032.00
BE213,462457.00
ES413,462496.00
PL229,463141.00
DK013,463748.00
UKK11,467099.00
HU221,467144.00
DEA27,470089.00
UKM6,470990.00
PL821,471161.00
ITI32,471228.00
UKI75,471248.00
BG331,471252.00
PL722,472699.00
PL815,473468.00
UKF15,475079.00
NO043,475654.00
UKI52,476061.00
FRJ15,477522.00
FI1C1,478582.00
NL412,478957.00
EL302,483712.00
IE051,484164.00
RO322,485276.00
DEA1C,485684.00
NO07,486450.00
ITI45,489083.00
RO313,491242.00
NL13,492167.00
UKH34,492514.00
UKD34,492658.00
FRD12,492733.00
MT00,493559.00
MT0,493559.00
MT,493559.00
EL307,494908.00
ES422,495106.00
UKM50,495365.00
UKM5,495365.00
UKD72,496784.00
BE35,496891.00
UKL22,497646.00
UKD1,498083.00
DK031,498481.00
DEA12,498590.00
CH013,499480.00
UKK15,500865.00
HU331,503825.00
RO224,504058.00
PL841,505188.00
PL428,506021.00
CH055,507697.00
BE242,508613.00
CZ063,509274.00
PL224,510139.00
UKF13,510300.00
FI197,515095.00
UKI43,516586.00
PL621,517268.00
FRK23,517703.00
UKD35,517992.00
DE254,518365.00
CZ053,520316.00
ES418,520385.00
UKM75,520483.00
SE33,520651.00
EL304,522340.00
TRC33,524190.00
NO051,524495.00
ES615,524576.00
UKC14,527035.00
HU321,527989.00
ITH42,528791.00
FRE21,529132.00
DEB2,531007.00
ITH10,531178.00
ITH1,531178.00
ITH53,531891.00
FRC11,533307.00
DE113,533859.00
PL218,534399.00
TR633,534415.00
RO125,535193.00
PL415,535946.00
TR833,536483.00
UKE41,536986.00
UKJ44,538428.00
UKI51,538801.00
FRC21,539508.00
TRA21,539657.00
TR222,540662.00
ITH20,541098.00
ITH2,541098.00
UKJ13,543128.00
DE115,543984.00
ITC48,545888.00
PL21A,546208.00
DK012,547534.00
DE128,547625.00
ITF65,548009.00
SI041,549171.00
FRC13,550004.00
CZ052,551021.00
UKJ36,551640.00
RO122,552193.00
PL515,552576.00
HU323,552964.00
UKD33,553230.00
PL417,554079.00
DED21,554649.00
AT32,555221.00
DEA2D,555465.00
EL64,555960.00
UKJ22,558626.00
ITG27,558684.00
UKI74,559903.00
UKK23,560631.00
BE234,560690.00
FRL06,560767.00
AT21,560939.00
RO111,561404.00
LT022,561430.00
FRG04,562220.00
ITF5,562869.00
SK021,563591.00
FRF23,565322.00
EL305,566719.00
UKG13,568167.00
UKK30,568612.00
UKK3,568612.00
DE501,569352.00
FRE23,571025.00
ES522,571601.00
EL65,574447.00
ITI44,575254.00
EL301,576111.00
ITF43,576756.00
TR333,577941.00
RO311,579862.00
PL713,581062.00
ES130,581641.00
ES13,581641.00
PL524,582325.00
PL634,582378.00
CZ072,582921.00
DEA13,583109.00
NL11,583990.00
UKE32,584028.00
CZ032,584672.00
RO211,585146.00
SK022,585882.00
DEA52,587010.00
ITC16,587098.00
DK022,587379.00
UKI53,587575.00
DED51,587857.00
PL518,589426.00
DK050,589755.00
DK05,589755.00
AT312,591781.00
UKG12,592158.00
UKI63,592763.00
TRB12,595638.00
FRH01,597327.00
NL423,597368.00
TRC32,599103.00
ITC42,599204.00
PL824,599434.00
EE001,599478.00
TR811,599698.00
EL51,599723.00
DEA2C,599780.00
FRD21,601388.00
FRB04,605840.00
PL921,605972.00
PL622,606469.00
UKD36,612383.00
TR832,612646.00
UKE22,613819.00
LU000,613894.00
LU00,613894.00
LU0,613894.00
LU,613894.00
DEA36,615261.00
PL812,615481.00
RS123,618578.00
DEA11,619294.00
ME000,622182.00
ME00,622182.00
ME0,622182.00
ME,622182.00
ITF46,622183.00
PL227,622483.00
PL432,622872.00
NO012,624055.00
TRC12,624513.00
RO215,624563.00
RO411,625656.00
BE332,626627.00
ITG13,626876.00
UKI44,627380.00
UKM82,627479.00
NL213,629284.00
MK008,630817.00
PL823,631399.00
ES616,632027.00
CZ071,632492.00
LV006,632614.00
NL411,634030.00
DE111,634830.00
EL43,634930.00
UKK13,635249.00
PL912,637851.00
BE241,638030.00
PL514,638659.00
UKI41,638859.00
PL913,639267.00
PL517,641626.00
CZ031,642133.00
HU311,642447.00
UKD37,645740.00
FRI32,646194.00
TR722,646608.00
NL12,647672.00
SK032,647874.00
ES220,649946.00
ES22,649946.00
UKE44,651117.00
FRK21,652437.00
PL414,652618.00
UKH12,653412.00
EL63,655189.00
ITI21,656382.00
FRK14,658243.00
PL418,658508.00
NL413,658616.00
SK010,659598.00
SK01,659598.00
PL225,661228.00
PL416,665874.00
BG421,668334.00
ES431,672493.00
RO223,673709.00
PL22B,675084.00
SK023,676672.00
CH033,678207.00
FRG05,680621.00
NO011,681067.00
FRI15,681157.00
FRB06,681361.00
DE50,682986.00
DE5,682986.00
PL711,684915.00
UKJ14,687466.00
NL221,688799.00
UKK12,690838.00
SK031,691368.00
ES425,691725.00
FRD11,692463.00
RO424,705113.00
ITH54,705393.00
PT18,705478.00
ITF61,705753.00
IE053,705950.00
ES611,706871.00
RO113,706905.00
PL814,709993.00
ES212,713007.00
RO316,717972.00
EL61,718640.00
IE062,720143.00
DK032,724867.00
PL214,725128.00
TR332,725568.00
FRI2,729981.00
FRF31,731615.00
PL22A,733268.00
UKF22,736439.00
NL226,738436.00
BG31,742304.00
PL633,745972.00
FRJ12,747151.00
DE712,753056.00
PL721,753544.00
FRH04,754221.00
AT33,754705.00
UKF30,756920.00
UKF3,756920.00
ES512,757497.00
UKH14,760472.00
FRF12,763774.00
FRK25,764233.00
PL213,766683.00
TRA11,767848.00
PL613,771746.00
TR902,771932.00
NL414,773203.00
NO04,780898.00
ES613,783867.00
BG32,784168.00
DK011,784618.00
UKJ25,791570.00
UKE42,792525.00
